case,sample,wall_time,ros_time,point_count,min_x,max_x,min_y,max_y,final_linear_x,final_linear_y,final_angular_z,odom_x,odom_y,odom_yaw
forward,5,102534.256568337,269.454,1008,-0.3911178349269225,0.3522909092378122,-0.17222182997986948,0.16331987605289416,0.15,0.0,0.0,-0.030948752737474,0.2118491563104321,0.6280288391413169
forward,6,102534.358082214,269.55400000000003,1008,-0.39347546868650174,0.3523600412641475,-0.16268595777104133,0.16458817594561967,0.15,0.0,0.0,-0.015876780693605496,0.21587146252186556,0.6414569473198956
forward,7,102534.448843213,269.639,1008,-0.37968039946987575,0.34982529479265323,-0.16599956195639676,0.19375721010486044,0.15,0.0,0.0,-0.0033820998634086137,0.21404748771429288,0.6574318994892678
forward,8,102534.551672894,269.744,1008,-0.3972359227452616,0.35187189482112485,-0.1641684291026484,0.173055119304136,0.15,0.0,0.0,-0.002144560668499676,0.22910365460020246,0.663777066093526
forward,9,102534.657127064,269.849,1008,-0.381855512827575,0.34992929378269055,-0.18640641393640334,0.16525357928111364,0.15,0.0,0.0,0.002981091006479961,0.2562962215214559,0.6775290494124956
forward,10,102534.758360038,269.944,1008,-0.38611590478900826,0.35178436130270757,-0.1864158098334355,0.164509834609268,0.15,0.0,0.0,0.005223940623856004,0.26662161965307196,0.6846110844606249
forward,11,102534.848894447,270.034,1008,-0.397225070493604,0.351601739661239,-0.16896534131342014,0.16292346063918534,0.15,0.0,0.0,0.02651683660523381,0.2670236612130498,0.6777784363105198
forward,12,102534.951080372,270.139,1008,-0.3842301155097653,0.35159831242811684,-0.16354925798497452,0.1869842242800116,0.15,0.0,0.0,0.03972590383110681,0.2651807160176905,0.6935901340661956
forward,13,102535.051793834,270.23400000000004,1008,-0.39785824949482407,0.35163114268803375,-0.16446980123383168,0.16443158141992004,0.15,0.0,0.0,0.04014657457268919,0.2730114988308761,0.7066600421066731
forward,14,102535.152395856,270.334,1008,-0.38744925946213365,0.3506729599491119,-0.18119579798779895,0.1645660055188662,0.15,0.0,0.0,0.045177521275996974,0.29183507200508224,0.7111921839530987
