case,sample,wall_time,ros_time,link,tx,ty,tz,qx,qy,qz,qw
stand,3,102527.744300927,263.034,lh_hip_link,-0.19339997768124045,0.04649952484209161,0.2081226282093533,0.008416673698502507,0.001194521547387582,-8.735973736706745e-06,0.9999638656700593
stand,3,102527.744300927,263.034,lh_upper_leg_link,-0.1933963888760142,0.14198599431185094,0.20973015280362817,0.007354809825401619,0.4881502580574547,0.004092339782627633,0.8727190184051085
stand,3,102527.744300927,263.034,lh_lower_leg_link,-0.3748928847698925,0.1438693427359751,0.0982650238306765,0.007176591866284677,-0.520537648356396,-0.004397385774420708,0.8537972336398898
stand,3,102527.744300927,263.034,lh_foot_link,-0.18555072558106572,0.14550447959420457,0.0007156871790731933,0.007176591866284677,-0.520537648356396,-0.004397385774420708,0.8537972336398898
stand,3,102527.744300927,263.034,d435_link,0.34024840159683956,0.017565320945344583,0.24646958288805765,-0.0007875979570882117,0.0030759991139823572,2.3069144955649486e-06,0.9999949589440873
stand,3,102527.744300927,263.034,velodyne_base_link,0.2004880670263453,0.0001260203491482479,0.2858576480278816,-0.0007875979570882117,0.0030759991139823572,2.3069144955649486e-06,0.9999949589440873
stand,3,102527.744300927,263.034,gps_frame,0.00043033210087817567,0.0001103146265924106,0.2770882438393514,-0.0007875979570882117,0.0030759991139823572,2.3069144955649486e-06,0.9999949589440873
stand,4,102527.847196215,263.134,trunk,-3.1631722418959007e-07,1.6114955264079304e-08,0.20635093031086502,-0.0008684378857710467,0.0020740886318900177,-8.841824339185314e-07,0.9999974719824065
stand,4,102527.847196215,263.134,imu_link,-3.1631722418959007e-07,1.6114955264079304e-08,0.20635093031086502,-0.0008684378857710467,0.0020740886318900177,-8.841824339185314e-07,0.9999974719824065
stand,4,102527.847196215,263.134,rf_hip_link,0.19339791061982456,-0.04650089637208027,0.2054509567245613,-0.012743158457878231,0.0023115720197215786,2.6717915249577836e-05,0.9999161303996791
stand,4,102527.847196215,263.134,rf_upper_leg_link,0.1934086395487905,-0.1419698801110263,0.20788468405993357,-0.011161878616485774,0.48629253760414787,-0.006148273504035608,0.8737031412723597
stand,4,102527.847196215,263.134,rf_lower_leg_link,0.012382519419869157,-0.14485062369627602,0.09567842243668291,-0.010840590698671113,-0.521858648515336,0.006698536753162906,0.8529367867365186
stand,4,102527.847196215,263.134,rf_foot_link,0.20203135280324508,-0.1473004002809569,-0.0012561874351767754,-0.010840590698671113,-0.521858648515336,0.006698536753162906,0.8529367867365186
stand,4,102527.847196215,263.134,lf_hip_link,0.19339736131460938,0.04649882148965946,0.20522187740408535,0.009363148486103286,0.002311597796179837,-2.4386021641546163e-05,0.99995349260422
stand,4,102527.847196215,263.134,lf_upper_leg_link,0.1934061528003045,0.14198207668310753,0.20701014482610275,0.008202968777709346,0.48643126994304053,0.0045144708973251044,0.8736686731692684
stand,4,102527.847196215,263.134,lf_lower_leg_link,0.012348998444267727,0.14409959362059838,0.09483696185212406,0.007956014915902676,-0.5230390716601715,-0.004936696355742762,0.8522572735815255
stand,4,102527.847196215,263.134,lf_foot_link,0.2022611316621966,0.14588814887037602,-0.0015953083002171464,0.007956014915902676,-0.5230390716601715,-0.004936696355742762,0.8522572735815255
stand,4,102527.847196215,263.134,rh_hip_link,-0.1933979552006228,-0.04649877589262433,0.20723930224878276,-0.011136766793719433,0.002311611959378196,2.300431730517929e-05,0.999935312080903
stand,4,102527.847196215,263.134,rh_upper_leg_link,-0.1933886445785328,-0.1419750865247954,0.20936627695044024,-0.009738064818344175,0.4889894542699526,-0.005403535639748662,0.8722185996119078
stand,4,102527.847196215,263.134,rh_lower_leg_link,-0.3751024876242122,-0.1444678039330609,0.09826782689152765,-0.0095132559995432,-0.5161374517863929,0.0057901696092136955,0.856433361540542
stand,4,102527.847196215,263.134,rh_foot_link,-0.1867711183161267,-0.1466655151111222,-0.0012081269873839284,-0.0095132559995432,-0.5161374517863929,0.0057901696092136955,0.856433361540542
stand,4,102527.847196215,263.134,lh_hip_link,-0.19339850450583798,0.0465009419691154,0.20701022292830681,0.00819854181442655,0.002311624629719993,-2.169379235829804e-05,0.9999637192583878
stand,4,102527.847196215,263.134,lh_upper_leg_link,-0.1933907413191508,0.1419881036064412,0.20857607802381964,0.007181131204908561,0.486812144200289,0.00395574431952015,0.8734682133315519
stand,4,102527.847196215,263.134,lh_lower_leg_link,-0.374544404389915,0.1438398342163022,0.09655410942036859,0.006985093143550805,-0.5193116143132781,-0.004292438966304234,0.8545456282029846
stand,4,102527.847196215,263.134,lh_foot_link,-0.18548328150885596,0.14543306032848038,-0.001539485913417571,0.006985093143550805,-0.5193116143132781,-0.004292438966304234,0.8545456282029846
stand,4,102527.847196215,263.134,d435_link,0.34016887531724954,0.017570243658367783,0.24640973916511624,-0.0008684378857710467,0.0020740886318900177,-8.841824339185314e-07,0.9999974719824065
stand,4,102527.847196215,263.134,velodyne_base_link,0.20032981641002834,0.00013789137305276529,0.2855204882981027,-0.0008684378857710467,0.0020740886318900177,-8.841824339185314e-07,0.9999974719824065
stand,4,102527.847196215,263.134,gps_frame,0.00029005546467390894,0.0001215968548613522,0.276350222466943,-0.0008684378857710467,0.0020740886318900177,-8.841824339185314e-07,0.9999974719824065
stand,5,102527.950166355,263.23400000000004,trunk,-2.873935309954522e-07,2.8092853316360302e-08,0.20783343211708757,0.00035967616044470994,-9.459908237951053e-05,-5.751927774752102e-07,0.9999999308418688
